hotel_code,business_date,total_rooms,current_rooms_sold,current_occupancy,current_adr,current_lead_time,pickup_rate,event_weight,forecast_occupancy,forecast_rooms,forecast_adr,forecast_revpar,has_event,event_count,total_visitors,event_names
hotel_a,2025-09-02,315,59.0,0.1873,242.02,64,0.33577533577533575,0.0,0.5230753357753357,164.8,242.02,126.59,False,0,0.0,
hotel_a,2025-09-26,315,54.0,0.1714,222.65,88,0.3633699633699633,0.031746031746031744,0.566515995115995,178.5,222.65,126.13,True,1,10000.0,The Other Art Fair
hotel_a,2025-09-03,315,61.0,0.1937,236.94,65,0.3369251119251119,0.0,0.5306251119251119,167.1,236.94,125.73,False,0,0.0,
hotel_a,2025-09-13,315,44.0,0.1397,256.59,75,0.34842287342287337,0.0012698412698412698,0.4893927146927146,154.2,256.59,125.57,True,2,400.0,"Unlikely Collaborators Spark Salon with Vijay Gupta | Access Masters Event – Los Angeles | September 13, 2025"
hotel_a,2025-09-25,315,47.0,0.1492,228.41,87,0.3622201872201872,0.03323809523809524,0.5446582824582824,171.6,228.41,124.41,True,3,10470.0,"Legal, Regulatory, and Compliance Forum on Cosmetics & Personal Care Products | The Other Art Fair | A Talk Through Pier History"
hotel_a,2025-09-14,315,39.0,0.1238,256.18,76,0.3495726495726495,0.0,0.47337264957264946,149.1,256.18,121.27,False,0,0.0,
hotel_a,2025-09-01,315,54.0,0.1714,237.01,63,0.33462555962555957,0.0,0.5060255596255596,159.4,237.01,119.93,False,0,0.0,
hotel_a,2025-09-24,315,46.0,0.146,230.83,86,0.361070411070411,0.0012698412698412698,0.5083402523402523,160.1,230.83,117.34,True,1,400.0,"Legal, Regulatory, and Compliance Forum on Cosmetics & Personal Care Products"
hotel_a,2025-09-10,315,35.0,0.1111,249.69,72,0.34497354497354493,0.0015873015873015873,0.4576608465608465,144.2,249.69,114.27,True,2,500.0,"Unlikely Collaborators Spark Salon with Michael Norton, PhD | Gide Annual Global Symposium"
hotel_a,2025-07-01,315,165.0,0.5238,208.07,1,0.012788534217105645,0.0,0.5365885342171057,169.0,208.07,111.65,False,0,0.0,
